,InAcc ID, 2020 total amount ,GSC Top3,GSC Top3 pct,GSC Recommendation Top3
3630,319762," 21,887 ","FTB - COMPOSITE, ACETATE & PAPER",1,"('FTM - POLYESTER FILM TAPES', 9218.760754828792)('FTZ - 1/S10/S20 EPOXY TAPES', 9002.151870229462)('FTU - 92/1205 & OTH HI-TEMP', 7331.276697565091)"
2957,308629," 21,880 ",FSQ - GLASS CLOTH TAPES,1,"('FTB - COMPOSITE, ACETATE & PAPER', 5735.283698898154)('FTM - POLYESTER FILM TAPES', 5189.843451615273)('FTZ - 1/S10/S20 EPOXY TAPES', 4981.2693698829535)"
3449,317176," 21,860 ",FIQ - TAPE TERM/SPLICING KITS,1,"('FJC - ENERGY RESINS', 1778.7059962755063)('FJG - HIGH VOLTAGE', 1666.809373735369)('FJI - SEPARABLE CONNECTORS', 1623.3468967102574)"
1264,278658," 21,804 ",FJM - QTIII RUBBER TERMINATIONS,1,"('FJF - QSIII & QS-2000 SPLICES', 10381.293879001967)('FJL - QTII,RUBBER, PORCELAIN TERMI', 6827.6572443722025)('FJI - SEPARABLE CONNECTORS', 3116.3849063801813)"
3243,313893," 21,801 ","FTU - 92/1205 & OTH HI-TEMP,FSB - COPPER FOIL TAPES",1,"('FTB - COMPOSITE, ACETATE & PAPER', 6979.242185498802)('FTM - POLYESTER FILM TAPES', 6749.728959642028)('FTZ - 1/S10/S20 EPOXY TAPES', 5361.047118290667)"
2248,298036," 21,782 ","FJL - QTII,RUBBER, PORCELAIN TERMI",1,"('FJF - QSIII & QS-2000 SPLICES', 10453.156524453963)('FJM - QTIII RUBBER TERMINATIONS', 6820.7679089871235)('FJI - SEPARABLE CONNECTORS', 4366.696252405357)"
683,216241," 21,760 ","FJM - QTIII RUBBER TERMINATIONS,FJF - QSIII & QS-2000 SPLICES",1,"('FJL - QTII,RUBBER, PORCELAIN TERMI', 8040.860055401331)('FJI - SEPARABLE CONNECTORS', 3816.649541270019)('FJZ - MISC PRODUCT - POWER PROD', 2521.1568091952895)"
3230,313637," 21,690 ","FJF - QSIII & QS-2000 SPLICES,FJL - QTII,RUBBER, PORCELAIN TERMI",1,"('FJM - QTIII RUBBER TERMINATIONS', 9134.815135424433)('FJI - SEPARABLE CONNECTORS', 4901.505945232884)('FJC - ENERGY RESINS', 3364.0739071360954)"
3357,315553," 21,570 ",FJF - QSIII & QS-2000 SPLICES,1,"('FJL - QTII,RUBBER, PORCELAIN TERMI', 10351.465493481834)('FJM - QTIII RUBBER TERMINATIONS', 10269.928776768113)('FJI - SEPARABLE CONNECTORS', 5154.30104910577)"
684,216260," 21,460 ",FJM - QTIII RUBBER TERMINATIONS,1,"('FJF - QSIII & QS-2000 SPLICES', 10217.650697042145)('FJL - QTII,RUBBER, PORCELAIN TERMI', 6720.031011089274)('FJI - SEPARABLE CONNECTORS', 3067.26047658987)"
3637,319790," 21,460 ",FJM - QTIII RUBBER TERMINATIONS,1,"('FJF - QSIII & QS-2000 SPLICES', 10217.650697042145)('FJL - QTII,RUBBER, PORCELAIN TERMI', 6720.031011089274)('FJI - SEPARABLE CONNECTORS', 3067.26047658987)"
2137,296923," 21,454 ","FJM - QTIII RUBBER TERMINATIONS,FJF - QSIII & QS-2000 SPLICES",1,"('FJL - QTII,RUBBER, PORCELAIN TERMI', 7814.030189860579)('FJI - SEPARABLE CONNECTORS', 3697.48562741147)('FJZ - MISC PRODUCT - POWER PROD', 2446.614108276472)"
3321,314536," 21,427 ","FJL - QTII,RUBBER, PORCELAIN TERMI,FJF - QSIII & QS-2000 SPLICES",1,"('FJM - QTIII RUBBER TERMINATIONS', 7099.073644253613)('FJI - SEPARABLE CONNECTORS', 4387.448251197318)('FJZ - MISC PRODUCT - POWER PROD', 3086.938169393829)"
1413,283999," 21,387 ",FID - GENERAL USE VINYL-BLACK,1,"('FIN - ALL MASTICS', 3182.1871454114244)('FIC - 33 VINYL TAPE', 2416.132023034361)('FIL - 23 RUBBER TAPE', 2190.175914915943)"
3138,312085," 21,381 ",FJM - QTIII RUBBER TERMINATIONS,1,"('FJF - QSIII & QS-2000 SPLICES', 10179.941918223414)('FJL - QTII,RUBBER, PORCELAIN TERMI', 6695.230382200528)('FJI - SEPARABLE CONNECTORS', 3055.9405900209695)"
1721,290017," 21,330 ",FID - GENERAL USE VINYL-BLACK,1,"('FIN - ALL MASTICS', 3173.7238817268194)('FIC - 33 VINYL TAPE', 2409.7061399943755)('FIL - 23 RUBBER TAPE', 2184.350978972018)"
